ID_Test,MAC_%,Model_Load_kg,Acceleration_m/s2,V_m/s,Fxw_N,Pitch_deg
2103,26,7,0.7,1.938305292,2.408537462,1.466139673
2103,26,7,0.7,1.900445292,2.942279942,1.533888673
2103,26,7,0.7,1.796650292,2.683295942,1.601637673
2103,26,7,0.7,1.969984292,2.863319252,1.689528673
2103,26,7,0.7,1.950668292,2.923327022,1.733473673
2103,26,7,0.7,1.936245292,3.191777672,1.810377673
2103,26,7,0.7,1.988013292,2.815946762,1.837843673
2103,26,7,0.7,2.067598292,2.958064232,1.898268673
2103,26,7,0.7,2.002694292,3.052809212,1.931227673
2103,26,7,0.7,2.079960292,3.119134622,1.986159673
2103,26,7,0.7,2.194314292,2.966487752,2.013624673
2103,26,7,0.7,1.998573292,2.813840882,2.057570673
2103,26,7,0.7,2.091293292,2.661194012,2.068556673
2103,26,7,0.7,2.044160292,3.463387142,2.112501673
2103,26,7,0.7,2.116018292,3.198095312,2.134474673
2103,26,7,0.7,2.161605292,3.094926812,2.178419673
2103,26,7,0.7,2.163150292,2.991758312,2.222365673
2103,26,7,0.7,2.139198292,2.888589812,2.244337673
2103,26,7,0.7,2.148985292,2.968596902,2.277296673
2103,26,7,0.7,2.158772292,3.048603992,2.288283673
2103,26,7,0.7,2.104943292,3.128611082,2.304762673
2103,26,7,0.7,2.150788292,3.390744092,2.321242673
2103,26,7,0.7,2.191739292,2.888589812,2.332228673
2103,26,7,0.7,2.264627292,3.558132122,2.341384006
2103,26,7,0.7,2.229084292,3.422322482,2.35053934
2103,26,7,0.7,2.231660292,3.520236092,2.359694673
2103,26,7,0.7,2.156711292,3.450751862,2.366561173
2103,26,7,0.7,2.111124292,3.523394912,2.373427673
2103,26,7,0.7,2.292700292,3.633924182,2.380294173
2103,26,7,0.7,2.322319292,3.548655662,2.387160673
2103,26,7,0.7,2.358635292,3.889749362,2.398146673
2103,26,7,0.7,2.246598292,3.978176702,2.409132673
2103,26,7,0.7,2.337000292,3.674988842,2.420119673
2103,26,7,0.7,2.517031292,3.842376872,2.42561284
2103,26,7,0.7,2.324380292,3.804471032,2.431106006
2103,26,7,0.7,2.432295292,3.877114082,2.436599173
2103,26,7,0.7,2.418130292,4.107668702,2.44209234
2103,26,7,0.7,2.389026292,3.757098542,2.447585506
2103,26,7,0.7,2.438219292,4.082398142,2.453078673
2103,26,7,0.7,2.486382292,3.949757132,2.460769073
2103,26,7,0.7,2.532742292,4.376109542,2.468459473
2103,26,7,0.7,2.553346292,3.959223782,2.476149873
2103,26,7,0.7,2.407828292,4.050819752,2.483840273
2103,26,7,0.7,2.163665292,3.826582772,2.491530673
2103,26,7,0.7,2.569572292,4.062395552,2.502516673
